id,victimClass,deaths,slightlyInjured,seriouslyInjured,addedon
13,pedestrians,390,104,439,2020-04-23
18,motor_cyclists,262,123,524,2020-04-23
7,pedestrians,249,58,264,2020-03-04
1,pedestrians,184,45,196,2020-02-17
15,passengers,159,1136,614,2020-04-23
12,motor_cyclists,138,52,268,2020-03-04
16,pillion_passengers,107,130,320,2020-04-23
6,motor_cyclists,105,42,181,2020-02-17
9,passengers,94,742,409,2020-03-04
14,drivers,86,139,234,2020-04-23
3,passengers,76,526,287,2020-02-17
10,pillion_passengers,63,69,165,2020-03-04
4,pillion_passengers,50,46,114,2020-02-17
8,drivers,40,79,115,2020-03-04
2,drivers,34,51,91,2020-02-17
17,pedal_cyclists,18,3,21,2020-04-23
11,pedal_cyclists,11,2,9,2020-03-04
5,pedal_cyclists,9,0,3,2020-02-17
